vignette_id,condition_id,model_name,run,response_text
V01,C01,GPT-4o,1,"ERROR Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-**************************************************************************************************************************************************************port. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
V01,C01,GPT-4o,2,"ERROR Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-**************************************************************************************************************************************************************port. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
V01,C01,GPT-4o,3,"ERROR Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-**************************************************************************************************************************************************************port. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
V02,C01,GPT-4o,1,"ERROR Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-**************************************************************************************************************************************************************port. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
V02,C01,GPT-4o,2,"ERROR Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-**************************************************************************************************************************************************************port. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
V02,C01,GPT-4o,3,"ERROR Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-**************************************************************************************************************************************************************port. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
V03,C01,GPT-4o,1,"ERROR Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-**************************************************************************************************************************************************************port. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
V03,C01,GPT-4o,2,"ERROR Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-**************************************************************************************************************************************************************port. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
V03,C01,GPT-4o,3,"ERROR Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-**************************************************************************************************************************************************************port. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
V04,C01,GPT-4o,1,"ERROR Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-**************************************************************************************************************************************************************port. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
V04,C01,GPT-4o,2,"ERROR Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-**************************************************************************************************************************************************************port. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
V04,C01,GPT-4o,3,"ERROR Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-**************************************************************************************************************************************************************port. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
V05,C01,GPT-4o,1,"ERROR Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-**************************************************************************************************************************************************************port. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
V05,C01,GPT-4o,2,"ERROR Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-**************************************************************************************************************************************************************port. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
V05,C01,GPT-4o,3,"ERROR Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-**************************************************************************************************************************************************************port. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
V06,C02,GPT-4o,1,"ERROR Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-**************************************************************************************************************************************************************port. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
V06,C02,GPT-4o,2,"ERROR Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-**************************************************************************************************************************************************************port. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
V06,C02,GPT-4o,3,"ERROR Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-**************************************************************************************************************************************************************port. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
V07,C02,GPT-4o,1,"ERROR Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-**************************************************************************************************************************************************************port. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
V07,C02,GPT-4o,2,"ERROR Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-**************************************************************************************************************************************************************port. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
V07,C02,GPT-4o,3,"ERROR Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-**************************************************************************************************************************************************************port. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
V08,C02,GPT-4o,1,"ERROR Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-**************************************************************************************************************************************************************port. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
V08,C02,GPT-4o,2,"ERROR Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-**************************************************************************************************************************************************************port. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
V08,C02,GPT-4o,3,"ERROR Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-**************************************************************************************************************************************************************port. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
V09,C02,GPT-4o,1,"ERROR Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-**************************************************************************************************************************************************************port. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
V09,C02,GPT-4o,2,"ERROR Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-**************************************************************************************************************************************************************port. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
V09,C02,GPT-4o,3,"ERROR Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-**************************************************************************************************************************************************************port. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
V10,C02,GPT-4o,1,"ERROR Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-**************************************************************************************************************************************************************port. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
V10,C02,GPT-4o,2,"ERROR Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-**************************************************************************************************************************************************************port. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
V10,C02,GPT-4o,3,"ERROR Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-**************************************************************************************************************************************************************port. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
